,input,mod,spp,accel_structure,render_time,intersections_per_ray
370,02_classic,spatial-robin,1,673.5541000000001,83.2504,2.367061319516601
371,02_classic,spatial-robin,1,669.7935,86.5822,2.367061319516601
372,02_classic,spatial-robin,1,669.6327,85.7183,2.367061319516601
373,02_classic,spatial-robin,1,677.3439999999999,94.0178,2.367061319516601
374,02_classic,spatial-robin,1,672.6371,88.0063,2.367061319516601
375,02_classic,spatial-robin,1,667.4248,93.5969,2.367061319516601
376,02_classic,median-longest,1,843.0103,153.1047,2.591050497237741
377,02_classic,median-longest,1,842.1051000000001,148.9025,2.591050497237741
378,02_classic,median-longest,1,840.4918,152.9641,2.591050497237741
379,02_classic,median-longest,1,837.7717,160.6521,2.591050497237741
380,02_classic,median-longest,1,839.3673,150.6909,2.591050497237741
381,02_classic,median-longest,1,837.7692,151.5399,2.591050497237741
